scenario,reference,lambda,metric,mean_scenario,mean_reference,mean_diff,pct_diff,paired_t,p_value,cohens_dz,n_seeds,significant_p05
s1_fixed,s0,0.6,mean_timeloss_s,24.912126923076926,17.773681410256412,7.138445512820514,40.163010397503975,18.062509128630005,2.2259328037010036e-08,5.711866910405408,10,True
s1_fixed,s0,0.6,mean_waiting_s,4.566089743589743,0.23211538461538456,4.333974358974359,1867.1637669152174,12.020898963608285,7.586586648827208e-07,3.80134202477597,10,True
s1_fixed,s0,0.6,p95_timeloss_s,55.3506,32.68655,22.664050000000003,69.33754097633431,45.78451591862428,5.6596726606085136e-12,14.47833518710891,10,True
s1_fixed,s0,0.6,n_collisions,90.4,1.3,89.10000000000001,6853.846153846153,18.5835726128504,1.733771901249651e-08,5.876641651973374,10,True
s1_fixed,s0,0.6,max_queue_length_m,30.302,14.688999999999998,15.613000000000001,106.29042140377156,5.754445224133814,0.00027475404784343006,1.8197153578940986,10,True
s1_fixed,s0,0.8,mean_timeloss_s,27.671271634615387,19.661892307692305,8.009379326923082,40.735546719425265,7.20199001383082,5.072262334245919e-05,2.277469212949296,10,True
s1_fixed,s0,0.8,mean_waiting_s,6.034711538461539,1.0815384615384618,4.953173076923077,457.97475106685624,4.937222202105018,0.0008053065432742963,1.561286747300403,10,True
s1_fixed,s0,0.8,p95_timeloss_s,59.325,35.40945,23.915550000000003,67.54002109606334,22.114402520152545,3.735862573916701e-09,6.99318810574497,10,True
s1_fixed,s0,0.8,n_collisions,170.9,10.0,160.9,1609.0,15.32659010984653,9.35502489739765e-08,4.846693351092531,10,True
s1_fixed,s0,0.8,max_queue_length_m,38.789,32.756,6.033000000000001,18.41799975576994,0.4653734770083257,0.6527193229853323,0.14716401499783113,10,False
s1_fixed,s0,1.0,mean_timeloss_s,32.87907769230769,21.022168461538463,11.856909230769226,56.40193233377554,4.072093664632283,0.0027908741113258687,1.2877090825779858,10,True
s1_fixed,s0,1.0,mean_waiting_s,9.478307692307691,1.1132692307692307,8.365038461538461,751.3940231473484,3.2330321075589836,0.010272637230178924,1.0223745208340869,10,True
s1_fixed,s0,1.0,p95_timeloss_s,81.00929999999997,37.96034999999999,43.04894999999998,113.4050397322469,2.385061219751776,0.0408870763822697,0.7542225813354988,10,True
s1_fixed,s0,1.0,n_collisions,323.4,21.2,302.2,1425.4716981132076,5.993578339174605,0.00020410094073575058,1.8953358886440952,10,True
s1_fixed,s0,1.0,max_queue_length_m,64.08600000000001,35.019999999999996,29.066000000000017,82.99828669331816,1.5394977675165997,0.1580675034086394,0.48683193980968364,10,False
s1_fixed,s0,1.2,mean_timeloss_s,38.9698218988219,23.426270833333337,15.543551065488561,66.35094068566636,3.7249544167596857,0.004734230780822777,1.1779340137264689,10,True
s1_fixed,s0,1.2,mean_waiting_s,13.28041641916642,2.016634615384615,11.263781803781804,558.5435119407371,3.2410079473582147,0.010142279171454086,1.0248967028359057,10,True
s1_fixed,s0,1.2,p95_timeloss_s,122.44624999999978,42.98764999999996,79.45859999999982,184.84052978006451,2.0874170223589745,0.06646115809768484,0.6600992217260984,10,False
s1_fixed,s0,1.2,n_collisions,558.3,46.3,511.99999999999994,1105.8315334773217,5.157476287171037,0.0005971108609241504,1.630937204576913,10,True
